Author name,Date of review,Comment,Url
Bko, 5/5/2021 ,"I take Xanax and adderall so after a 10 hour workday, my mind gets restless. Thinking too much. So Ambien knocks me out. Getting a Rx ",
Bailey, 3/3/2021 ,I take it for insomnia but a PTSD Psychiatrist who was formerly a brain surgeon said that a small increase will take away your nightmares and it has for the past 10 years.  I no longer have to re-live those events.  Sleep like a baby.,
ElPolloDiablo, 1/11/2021 ,"How I wish my insurance would still cover this, even if it was at tier 3 and cost me $200 a prescription. Prior to starting on this I would go 4-5 days without sleep. I'm not talking fitful sleep where I would toss and turn, but 4-5 days awake for the entire 24 hours of the day. There is a reason sleep deprivation is a torture method. It is horrid. Ambien changed my life. I would take one, then I would have about 15 minutes to get to where I was sleeping. I would close my eyes and not open them for 8 hours. The only drawback is that it is an amnestic, so it may be that you get up at night and do some stuff, like raid the fridge, and not remember. It is also a bit of a truth serum in that you find yourself talking before you think about what you're saying. Best way to handle that is to take it when you get into bed. If your insurance covers this, or if you have the means, insist on this rather than generic zolpidem. I've heard professionals swear that generics are equivalent to brand names, but they are not in my experience. The effect and time for delivery is vastly varied depending on which generic manufacturer you are using. I have found some to have no little to no effect. Maybe it's just me.  ",
Mert, 12/6/2020 ,Have chronic insomnia ,
Anonymous, 9/15/2020 ,"I’ve tried every sleep aid, Melatonin, Unisom, Benadryl, etc. This is the only one that works without feeling groggy the next day!",
Insomniac, 4/22/2020 ,"I am very satisfied. For the fist time in a long time, one pill and 6-8 hours of undistirbed sleep. I have tried everything herbal, over counter and controlled prescriptions. This is the first one that checks all the boxes.",
Just, 3/28/2020 ,It works.,
Anonymous, 1/23/2020 ,this is the only meds that effectively puts me to sleep and allows me to have unbroken sleep for atleast 4 or more hours  i wakeup refreshed and non groggy,
Anonymous, 1/13/2020 ,Starting to forget!  ,
needrealambien, 1/5/2020 ,"Name brand Ambien works great. No waking side effects and doesn't linger in system. However, if you are going to take generic equivalent Zopidem, please read the following: I have to cut generic Zolpidem pill in half, sometimes thirds, because full pill turns me into a useless zombie following day. I take 15 minutes before laying down, gets me to sleep and only wake 2-3 times during sleep, mainly to readjust position. Dream well. However, even with just half a pill, I can't get myself out of bed for about 10-12 hours, I experience severe vertigo for 1-3 hours accompanied by 4-5 hours of dopiness, and experience a near total loss of meaningful cognitive function and any motivation to get anything done. Zolpidem (generic) is NOT to be compared to Ambien, as Ambien has none of these awful side effects. Sadly, the existence of Zolpidem and price-gouging in the US has prevented insurance coverage for Ambien and purchase of Ambien for the millions of us without insurance. Zolpidem is not safe, for hours after waking up I am still unable to drive without being under the influence. FDA should take this drug off the US market. In the meantime, it would be much safer and productive, sadly, to live with chronic insomnia.  ",
Allen, 12/19/2019 ,"I sleep about 5 hours a night taking sodium generic for ambien, Been taken 5years since my wife passed away.3 years ago stated needing stronger and now taking 10 mg. Still lucky to get 5 or 6 hrs sleep,  don't have any issues with taking them , but if I don't,,I don't Sleep!! I am 64 year old male",
Anonymous, 10/29/2019 ,arun,
Trustme2019, 9/24/2019 ,"Watching my husband was the scariest thing while taking Ambien. He looked like he was on heroin all day, his eyes were bug eyed, he had chronic diarrhea, extreme all day drowsiness, constant muscle movement, restless leg syndrome, his behavior changed, he would shake constantly, and he was losing weight rapidly. BEWARE! RUN AWAY! It’ll ruin you! ",
Anonymous, 9/18/2019 ,"I shopped for three hours with my son.spent 48.$ to make a pie and a cake..THEY CALL THESE BLACK OUTS.there are more stories.but my final wake up was,I awoke standing in my kitchen in the middle of the day.standing over the kitchen sink cutting both my wrists open, with a rusty box cutter.Luckily I had no real never damage..and I take nothing that can take over my senses.exercise a lot helps sleep.SO NO ONE SHOULD TAKE THIS MEDICATION..",
Anonymous, 9/15/2019 ,"Late night eating, Amazon Binge shopping.  Holy smokes!  People do crazy stuff on the medicine.  I still take it for sleep due to menopausal issues.  Just be careful. Not good for long term though.",
Anonymous, 8/30/2019 ,I only give one star because I am allergic to it. I’m not allergic to any other medicine except this one. I was vomiting & my tongue swelled up the first night. ,
Sunshine823, 7/22/2019 ,"I took this for a while, and stopped because I got in the car a sleep drove and got arrested for driving while impaired and don't recall leaving the house. This can be fought with a good attorney if you plead the Ambien defense. Meaning, you did not knowingly and with malice get in your car and drive... I would also get up and make bon-fires, cook food, clean the house, and take more ambiens and not understand why my medication kept coming up short. I put my family through such a hard time because they were up trying to watch me and finally told me after the driving incident what I had been doing. It upset me terribly. I was glad I had never put my children in the car with me and drove in that condition...   ",
zzimmharwiz, 5/24/2019 ,all chilled out and energetic...increased sex drive,
